02014  78 4E N CR
02015  79 4F O CR
02016  80 50 P CR
02017  81 51 Q CR
02018  82 52 R CR
02019  83 53 S CR
02020  84 54 T CR
02021  85 55 U CR
02022  86 56 V CR
02023  87 57 W CR
02024  88 58 X CR
02025  89 59 Y CR
02026  90 5A Z CR
02027  65 41 A CG
02028  66 42 B CG
02029  67 43 C CG
02029  71 47 G CG
02030  68 44 D CG
02030 141      EX
02030 155      GI
02030 155      SS
02030 155      TR
02030 155      CG
02030 155      GG
02030 155      CC
02030 155      DR
02030 155      GE
02030 155      CI
02030 155      SG
02030 155      SR
02030 155      TI
02030 155      CR
02030 155      CS
02031  69 45 E CG
02032  90 5A Z CG
02033  74 4A J CG
02034  81 51 Q CG
02034 142      EX
02035  73 49 I CG
02036  75 4B K CG
02037  76 4C L CG
02037 143      EX
02038  77 4D M CG
02039  78 4E N CG
02040  88 58 X CG
02041  79 4F O CG
02042  80 50 P CG
02042 144      EX
02043  82 52 R CG
02044  83 53 S CG
02044 145      EX
02045  84 54 T CG
02046  85 55 U CG
02046  89 59 Y CG
02046 146      EX
02047  70 46 F CG
02047 147      EX
02048  72 48 H CG
02049  86 56 V CG
02049 148      EX
02050  87 57 W CG
02050 149      EX
02051  65 41 A CI
02052  66 42 B CI
02053  67 43 C CI
02054  68 44 D CI
02055  69 45 E CI
02056  70 46 F CI
02057  71 47 G CI
02058  72 48 H CI
02059  73 49 I CI
02060  74 4A J CI
02061  75 4B K CI
02062  76 4C L CI
02063  77 4D M CI
02064  78 4E N CI
02065  79 4F O CI
02066  80 50 P CI
02067  81 51 Q CI
02068  82 52 R CI
02069  83 53 S CI
02070  84 54 T CI
02071  85 55 U CI
02072  86 56 V CI
02073  87 57 W CI
02074  88 58 X CI
02075  89 59 Y CI
02076  90 5A Z CI
02077 150      EX
02101  97 61 A CR
02102  98 62 B CR
02103  99 63 C CR
02104 100 64 D CR
02105 101 65 E CR
02106 102 66 F CR
02107 103 67 G CR
02108 104 68 H CR
02109 105 69 I CR
02110 106 6A J CR
02111 107 6B K CR
02112 108 6C L CR
02113 109 6D M CR
02114 110 6E N CR
02115 111 6F O CR
02116 112 70 P CR
02117 113 71 Q CR
02118 114 72 R CR
02119 115 73 S CR
02120 116 74 T CR
02121 117 75 U CR
02122 118 76 V CR
02123 119 77 W CR
02124 120 78 X CR
02125 121 79 Y CR
02126 122 7A Z CR
02127  97 61 A CG
02127 151      EX
02128  98 62 B CG
02128 152      EX
02129  99 63 C CG
02129 103 67 G CG
02130 100 64 D CG
02130 153      EX
02130 156      TI
02130 156      CC
02130 156      CI
02130 156      CG
02130 156      TR
02130 156      GI
02130 156      CS
02130 156      SS
02130 156      CR
02130 156      SG
02130 156      GG
02130 156      DR
02130 156      SR
02130 156      GE
02131 157      GI
02131 157      CC
02131 157      TI
02131 157      SS
02131 157      GE
02131 157      CG
02131 157      SG
02131 157      SR
02131 157      CS
02131 157      DR
02131 157      CI
02131 157      GG
02131 157      CR
02131 157      TR
02132 122 7A Z CG
02133 106 6A J CG
02135 105 69 I CG
02136 107 6B K CG
02137 108 6C L CG
02137 154      EX
02138 109 6D M CG
02139 110 6E N CG
02140 120 78 X CG
02141 111 6F O CG
02142 112 70 P CG
02142 155      EX
02143 114 72 R CG
02144 115 73 S CG
02145 116 74 T CG
02146 117 75 U CG
02146 121 79 Y CG
02147 102 66 F CG
02147 156      EX
02148 104 68 H CG
02149 118 76 V CG
02149 157      EX
02150 119 77 W CG
02151  97 61 A CI
02152  98 62 B CI
02153  99 63 C CI
02154 100 64 D CI
02155 101 65 E CI
02156 102 66 F CI
02157 103 67 G CI
02158 104 68 H CI
02159 105 69 I CI
02160 106 6A J CI
02161 107 6B K CI
02162 108 6C L CI
02163 109 6D M CI
02164 110 6E N CI
02165 111 6F O CI
02166 112 70 P CI
02167 113 71 Q CI
